	SRR925703	SRR925714	SRR925716	SRR925726	SRR934637	SRR925697	SRR934636	SRR925689	SRR925690	SRR925691	SRR925692	SRR925702	SRR925707	SRR925708	SRR925709	SRR925710	SRR925713	SRR925715	SRR925717	SRR934638	SRR934639	SRR925706	SRR925693	SRR925694	SRR925695	SRR925696	SRR925698	SRR925699	SRR925700	SRR925701	SRR925704	SRR925705	SRR925711	SRR925718	SRR925723	SRR925724	SRR925725	SRR925727	SRR925729	SRR925735	SRR925736	SRR925740	SRR925741	SRR925742	SRR934631	SRR934632	SRR934633	SRR934640	SRR934641	SRR934642	SRR934643	SRR934644	SRR934645
ENSG00000137770_CTDSPL2	44.83	0.0	0.0	13.49	10.44	13.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.66	0.0	0.0	0.0	0.0	0.0	0.0	22.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000279916_AC010655.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41	14.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.46	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000152578_GRIA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	456.95	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000080224_EPHA6	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000130254_SAFB2	1333.17	3034.65	4568.69	0.0	0.0	0.0	0.0	3071.9	0.0	2524.09	2452.0	1828.5	3956.3	3034.41	1711.36	0.0	0.0	0.0	3175.23	2783.87	0.0	0.0	0.0	1193.57	2079.44	2355.29	4259.43	0.0	2230.55	0.0	2668.72	1835.55	1228.05	5510.8	2616.95	1551.47	2465.59	2615.94	1373.7	1225.09	1734.13	0.0	2023.2	1455.16	0.0	0.0	0.0	3186.71	0.0	0.0	2059.51	0.0	1769.0
ENSG00000110880_CORO1C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1387.87	0.0	0.0	0.0	0.0	0.0	414.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000171608_PIK3CD	659.41	2001.59	1467.16	1089.81	5330.01	1555.71	0.0	0.0	0.0	142.66	148.67	205.47	212.87	679.69	776.53	61.5	939.7	755.78	968.72	0.0	3899.66	513.48	78.29	0.0	34.26	170.1	0.0	0.0	0.0	0.0	45.0	0.0	1053.25	77.13	49.95	122.9	22.6	49.77	0.0	0.0	526.33	0.0	17.94	189.72	0.0	0.0	20.95	0.0	0.0	0.0	201.68	0.0	536.74
ENSG00000181666_HKR1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	870.75	0.0	3438.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3630.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228262_LINC01320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000196850_PPTC7	0.0	324.21	62.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	265.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.4	144.61	75.49	0.0	0.0	0.0	354.07	405.18	0.0	0.0	147.23	0.0	0.0	0.0	0.0	37.96	0.0	0.0	194.26	0.0	62.91	0.0	0.0
ENSG00000070882_OSBPL3	0.0	0.0	110.66	0.0	0.0	76.13	59.17	58.97	51.25	73.82	62.09	0.0	0.0	0.0	0.0	317.68	87.98	0.0	0.0	0.0	206.84	16.11	181.25	38.32	0.0	30.2	65.45	9.2	2.33	0.13	0.0	42.4	0.0	0.0	1.1	0.33	225.33	0.0	0.0	52.24	0.0	0.0	0.0	0.0	17.33	13.74	33.39	0.0	0.0	19.14	16.62	0.0	0.0
ENSG00000103888_CEMIP	499.68	407.12	6396.4	954.14	1131.87	11174.84	226.34	22.39	29.99	30.94	40.12	7.09	3.38	9.05	22.52	88.75	60.18	19.25	417.31	3.88	50.25	32.5	9352.69	122.14	61.53	114.87	26.09	6.91	46.59	65.65	88.1	19.4	1097.84	159.86	185.22	283.84	651.89	52.65	0.0	110.04	42.5	4.58	43.71	12.31	307.27	289.45	203.91	2.86	16.94	4131.5	175.02	770.62	871.98
ENSG00000251488_RP11-404I7.2	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000173818_ENDOV	1829.09	1275.58	0.0	390.64	0.0	206.83	0.0	0.0	0.0	647.84	0.0	824.62	999.3	249.04	0.0	0.0	1446.63	535.88	0.0	0.0	0.0	959.87	2532.19	0.0	0.0	1115.16	1505.31	0.0	877.19	0.0	1315.2	2530.3	0.0	0.0	1179.73	652.27	0.0	0.0	607.48	480.0	0.0	0.0	607.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.14
ENSG00000155099_TMEM55A	182.66	513.08	175.17	384.72	0.0	50.69	0.0	40.21	0.0	28.88	26.8	30.7	43.47	56.45	49.62	89.16	38.26	208.95	312.78	40.96	149.74	344.43	102.69	0.0	31.31	80.52	55.43	0.0	0.0	0.0	540.78	88.12	68.95	0.0	77.09	77.12	118.85	177.94	47.21	42.44	0.0	0.0	31.62	10.45	0.0	0.0	38.82	0.0	0.0	0.0	32.51	0.0	0.0
ENSG00000234223_AC003988.1	6.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000231873_RP11-761N21.1	20.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	0.0	11.71	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000071203_MS4A12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000103404_USP31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	340.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000114554_PLXNA1	0.0	0.0	0.0	0.0	0.0	0.0	4028.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1691.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000230590_FTX	28.04	0.0	0.0	0.0	0.0	0.0	0.0	3.06	0.0	0.0	0.0	11.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000139629_GALNT6	219.38	12.65	9.16	59.83	23.1	0.0	0.0	8986.37	5090.63	3350.31	3373.49	306.71	49.42	219.1	208.9	3982.41	2183.62	917.6	1111.12	1043.38	0.0	84.08	0.0	1416.73	4449.42	16111.36	4921.15	0.0	1600.57	0.0	13599.36	0.0	747.73	4369.39	3117.13	0.0	3872.57	3536.14	0.0	4558.9	0.0	0.0	5168.02	0.0	0.0	0.0	2612.3	0.0	14036.98	0.0	0.0	0.0	5785.87
ENSG00000141429_GALNT1	169.62	24.89	47.44	0.0	0.0	40.84	0.0	0.0	4.72	3.53	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.06	0.0	210.93	0.0	0.0	50.37	0.0	0.0	0.0	0.63	0.0	0.0	0.0	4.09	42.96	60.98	0.0	181.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.33	0.0	0.0	0.0	0.0	0.0	1.03
ENSG00000204560_DHX16	4570.12	8005.48	4409.5	6295.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4475.9	6159.31	0.0	0.0	0.0	1872.93	4235.3	0.0	0.0	2989.27	0.0	0.0	0.0	4494.54	4924.07	0.0	0.0	0.0	0.0	0.0	1388.17	9082.63	5166.77	0.0	2363.67	2898.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000227160_THEM7P	7.15	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	2.01	1.61	4.06	0.0	0.0	0.0	1.63	0.49	0.0	0.0	0.0	0.0	0.0	1.84	0.0	0.58	0.0	0.0	0.0	21.97	0.0	0.0	0.0
ENSG00000075292_ZNF638	1911.48	2920.92	514.88	1458.36	0.0	1155.63	0.0	277.31	724.5	522.49	431.79	1011.4	949.12	1308.94	685.97	1325.55	1075.04	1181.81	2663.57	532.95	1785.04	1698.34	8630.53	202.66	2226.33	2187.9	2838.37	276.06	209.11	230.96	2951.29	1546.14	1681.54	589.73	1958.54	1425.84	2794.47	3552.57	1105.69	998.97	689.75	0.0	2491.24	1333.61	0.0	0.0	971.65	438.92	715.48	0.0	482.9	0.0	378.54
ENSG00000223647_AL133249.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.92	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000137745_MMP13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000205838_TTC23L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.22	0.0	0.0	0.0	29.91	0.0	0.0	2.65	4.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000112234_FBXL4	0.0	128.78	81.54	1109.08	0.0	603.14	0.0	0.0	0.0	0.0	0.0	0.0	75.42	68.27	0.0	0.0	0.0	0.0	0.0	0.0	311.45	0.0	783.26	0.0	200.33	0.0	0.0	0.0	0.0	0.0	472.09	0.0	239.49	101.97	198.47	179.48	387.23	0.0	0.0	0.0	0.0	0.0	396.15	74.98	0.0	0.0	0.0	0.0	598.41	264.67	0.0	0.0	0.0
ENSG00000197779_ZNF81	76.28	93.46	27.67	45.42	0.0	93.9	0.0	0.0	0.0	0.0	0.0	0.0	12.77	39.06	0.0	139.64	81.96	20.54	0.0	0.0	52.64	0.0	243.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000263923_RP11-571L19.7	14.73	2.23	3.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	0.0	0.0	0.0	0.0	3.45	8.48	0.0	0.0	0.0	2.77	4.77	0.0	0.0	0.0	2.83	2.65	5.73	0.0	0.0	5.06	0.0	1.4	0.0	0.0	0.0	0.0	3.9	2.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000018699_TTC27	406.15	211.72	105.08	354.49	0.0	208.76	72.06	0.0	0.0	0.0	0.0	96.45	163.4	557.14	202.69	0.0	0.0	132.35	2944.63	79.75	0.0	92.21	0.0	31.83	187.48	241.12	329.14	41.18	50.45	226.4	218.18	181.91	250.82	100.12	193.0	103.72	825.03	738.63	166.67	118.7	216.62	0.0	0.0	263.22	0.0	0.0	0.0	70.02	111.49	1688.42	58.84	0.0	50.81
ENSG00000203930_LINC00632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	2.53	0.0	0.0	4.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000236283_AC013463.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000144744_UBA3	1433.67	1611.58	670.75	2694.45	0.0	1836.98	224.33	172.95	0.0	323.46	240.92	555.43	680.42	474.37	594.34	2198.55	1826.43	1495.31	3826.14	520.0	2104.18	1276.54	4117.73	132.23	1476.52	1308.41	1935.0	170.88	121.25	95.28	2359.02	421.85	270.22	159.04	476.01	1253.26	3188.63	2271.02	1316.65	751.85	1120.06	882.84	2362.55	599.2	176.85	161.93	633.61	490.9	701.64	904.18	278.52	244.66	161.46
ENSG00000113492_AGXT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	1.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82	0.0	2.88	0.0	0.0	0.0	0.0	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000074047_GLI2	5.39	6.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.28	0.4	0.0	0.0	0.0	0.0	1.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000145708_CRHBP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000280286_ABC14-1080714F14.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000154529_CNTNAP3B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.12	0.0	0.0	0.0	0.0	32.05	0.0	1422.16	0.0	0.0	0.0	6.13	6.53	0.0	3.37	30.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000118515_SGK1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.29	298.09	0.0	0.0	0.0	0.0	7.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000175664_TEX26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000158092_NCK1	185.55	70.67	0.0	144.74	0.0	46.06	0.0	5.16	0.0	9.51	4.85	26.5	28.35	45.34	42.19	22.22	91.67	329.33	0.0	40.55	61.07	311.82	48.61	0.0	45.79	49.84	98.3	3.94	6.56	0.0	155.63	45.43	52.7	19.42	44.01	36.15	42.76	0.0	0.0	150.01	27.05	0.0	55.26	18.46	0.0	0.0	0.0	0.0	12.11	38.65	4.23	0.0	7.39
